,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 5,Vegan Friendly,Wine Body,Langtons Classified
84,9.5%,Brown Brothers,Screw Cap,Australia,2017*,Crouchen Riesling,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,King Valley,750mL,5.6,Victoria,Crouchen Riesling,Sweet,,,,
85,13%,Yalumba,Screw Cap,Australia,2018*,Y Series Unwooded Chardonnay,$9.90 in any six,$59.40 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,South Australia,Chardonnay,Dry,,true,,
86,13.5%,Goundrey,Screw Cap,Australia,2017*,Homestead Unwooded Chardonnay,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Great Southern,750mL,8,Western Australia,Chardonnay,Dry,,,,
87,12.5%,Bowler's Run,Screw Cap,Australia,2018*,Chardonnay,$2.85 in any six,$17.10 per case of 6,$2.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4,,Chardonnay,Dry,,,,
88,12.5%,De Bortoli,Screw Cap,Australia,2018*,Sacred Hill Semillon Sauvignon Blanc,$4.75 in any six,$24.70 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4,,Semillon Sauvignon Blanc,Dry,,,,
89,13%,Nepenthe,Screw Cap,Australia,2018*,Sauvignon Blanc,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,7.7,South Australia,Sauvignon Blanc,Dry,,,,
90,13%,Rosemount,Screw Cap,Australia,2018*,Diamond Label Chardonnay,$9.95 per bottle,$56.70 per case of 6,$9.45 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,,Chardonnay,Dry,,,,
91,9.5%,Golden Oak,Cask Closure,Australia,Non Vintage*,Fruity White Cask 4L,$9.99 each,$19.00 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,4L,30.0,Victoria,White Blend,Sweet,,,,
92,12.5%,McGuigan,Screw Cap,Australia,2018*,Black Label Pinot Grigio,$6.95 in any six,$41.70 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4,,Pinot Grigio,Dry,,,,
93,13%,Petaluma,Screw Cap,Australia,2017*,White Label Chardonnay,$21.90 in any six,$131.40 per case of 6,$21.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,7.7,South Australia,Chardonnay,Dry,,,,
94,13%,Molly's Cradle,Screw Cap,Australia,2018,Chardonnay 2018,Delivery Offer$79.00 per case of 6,$18.00 per bottle,$108.00 per case of 6,Dry White,,Hunter Valley,750mL,7.7,New South Wales,Chardonnay,Chardonnay,,,,
95,6%,Banrock Station,Screw Cap,Australia,2016*,Moscato,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,3.6,South Australia,Moscato,Semi Sweet,,,,
96,11.7%,Jacob's Creek,Screw Cap,Australia,2018*,Cool Harvest Sauvignon Blanc,$9.95 in any six,$59.70 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,6.9,,Sauvignon Blanc,Dry,,,,
97,12.5%,Punt Road,Screw Cap,Australia,2017*,Pinot Gris,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,7.4,Victoria,Pinot Gris,Dry,,,,
98,10%,Berri Estates,Cask Closure,Australia,Non Vintage*,Fresh Dry White Cask 5L,$15.99 per cask,$28.90 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,5L,39.0,South Australia,White Blend,Dry,,,,
99,14%,Leeuwin Estate,Screw Cap,Australia,2015,Art Series Chardonnay,$99.80 in any six,"$1,197.60 per case of 12",$104.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 11 of 83 Chardonnay from Margaret River,Margaret River,750mL,8.3,Western Australia,Chardonnay,Dry,,,,Exceptional
100,12%,Cape Mentelle,Screw Cap,Australia,2017*,Sauvignon Blanc Semillon,$21.99 per bottle,$125.40 per case of 6,$20.90 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 12 of 20 Sauvignon Blanc from Margaret River,Margaret River,750mL,7.1,Western Australia,Sauvignon Blanc Semillon,Dry,,,,
101,12.5,Houghton,Screw Cap,Australia,2017*,Sauvignon Blanc Semillon,$9.45 in any six,$56.70 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4,Western Australia,Stripe Sauvignon Blanc Semillon,Dry,,,,
102,13.5%,Lindeman's,Screw Cap,Australia,2017*,Bin 65 Chardonnay,$6.60 in any six,$39.60 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,,Chardonnay,Dry,,,,
103,6%,Banrock Station,Screw Cap,Australia,2018*,Pink Moscato,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,3.6,South Australia,Moscato,Semi Sweet,,,,
104,11%,Berri Estates,Cask Closure,Australia,Non Vintage*,Classic Dry White Cask 5L,$15.99 per cask,$28.90 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,5L,43.0,South Australia,White Blend,Dry,,,,
105,13%,McWilliams,Screw Cap,Australia,2017*,On The Grapevine Chardonnay,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,New South Wales,Chardonnay,Dry,,,,
106,12.5%,De Bortoli,Screw Cap,Australia,2017*,Sacred Hill Chardonnay,$4.75 in any six,$24.70 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4,New South Wales,Chardonnay,Dry,,,,
107,11.7%,Jacob's Creek,Screw Cap,Australia,2018*,Classic Riesling,$5.95 in any six,$35.70 per case of 6,$5.95 per bottle,Awards: Top Gold Medal - Royal Adelaide Wine Show 2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,6.9,South Australia,Riesling,Dry,,,,
108,11%,Berri Estates,Cask Closure,Australia,Non Vintage*,Classic Dry White Cask 5L,$15.99 per cask,$28.90 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,5L,43.0,South Australia,White Blend,Dry,,,,
109,7.0% (2017),Brown Brothers,Screw Cap,Australia,2017*,Moscato Sauvignon Blanc,$10.40 in any six,$62.40 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,4.1 (Non Vintage),,Moscato Sauvignon Blanc,Dry,,,,
110,0.50%,Edenvale,Screw Cap,Australia,,0.5% Low Alcohol Chardonnay,$8.55 in any six,$50.70 per case of 6,$8.99 per bottle,,,,750mL,0.3,,Low alcoholic wine,Dry,,,,
111,12.5%,Petaluma,Screw Cap,Australia,2017*,Hanlin Hill Riesling,$24.99 per bottle,$142.80 per case of 6,$23.80 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 2 of 70 Riesling from Clare Valley,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,,,,Excellent
112,11%,Warburn,Screw Cap,Australia,2018*,Rumours Sauvignon Blanc,$5.25 in any six,$31.50 per case of 6,$5.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Riverina,750mL,6.5,New South Wales,Sauvignon Blanc,Dry,,,,
113,13%,Shaw & Smith,Screw Cap,Australia,2016*,M3 Chardonnay,$43.70 in any six,$262.20 per case of 6,$45.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 64 Chardonnay from Adelaide Hills,Adelaide Hills,750mL,7.7,South Australia,Chardonnay,Dry,,,,
114,11.0% (2016),Warburn,Screw Cap,Australia,2016*,Rumours Pinot Grigio,$5.25 in any six,$31.50 per case of 6,$5.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,6.5 (2016),,Pinot Grigio,Dry,,,,
115,13%,Cat Amongst The Pigeons,Screw Cap,Australia,2018,Fat Cat Chardonnay,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Eden Valley,750mL,7.7,South Australia,Chardonnay,,,,,
116,12.8%,Yering Station,Screw Cap,Australia,2017*,Little Yering Chardonnay,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,7.6,Victoria,Chardonnay,Dry,,,,
117,13%,Shaw & Smith,Screw Cap,Australia,2016*,M3 Chardonnay,$43.70 in any six,$262.20 per case of 6,$45.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 64 Chardonnay from Adelaide Hills,Adelaide Hills,750mL,7.7,South Australia,Chardonnay,Dry,,,,
118,12.5%,McGuigan,Screw Cap,Australia,2017*,Black Label Chardonnay,$6.95 in any six,$41.70 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4,,Chardonnay,Dry,,,,
119,12.5%,Chapel Hill,Screw Cap,Australia,2018*,Chardonnay,Member Offer$10.00 per bottle,$14.95 in any six,$89.70 per case of 6,$14.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,7.4,South Australia,Chardonnay,Dry,Ranked 13 of 21 Chardonnay from Australia,,,
120,12.5%,Wills Domain,Screw Cap,Australia,2018*,Semillon Sauvignon Blanc,$21.99 per bottle,$125.40 per case of 6,$20.90 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.7,Western Australia,Semillon Sauvignon Blanc,Dry,,,,
121,11.2%,Tyrrell's,Cork,Australia,2005,Museum Vat 1 Semillon 2005,$142.50 in any six,$855.00 per case of 6,$149.99 per bottle,"Awards: The 2005 vintage has been awarded 33 trophies, 1 silver medallion, 57 gold, and 2 Top 40 awards. It has also received the Gramp, Hardy, Hill Smith Prize for Outstanding Wine of Provenance award at the Adelaide Wine Show.",,Hunter Valley,750mL,6.3,New South Wales,Semillon,,,,,
122,11.6%,Jacob's Creek,Screw Cap,Australia,2018*,Cool Harvest Pinot Grigio,$9.95 in any six,$59.70 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,6.9,,Pinot Grigio,Dry,,,,
123,12%,Leo Buring,Screw Cap,Australia,2018*,Dry Clare Valley Riesling,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,,,
