,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 5,Organic,Langtons Classified,Vegan Friendly
82,14.00%,Penfolds,Screw Cap,Australia,,Bin 2 Shiraz Mourvèdre 2011,$39.90 in any six,$239.40 per case of 6,$41.99 per bottle,Ranked 2 of 26 Shiraz from South Australia,,,750mL,8.3,South Australia,Shiraz Mourvèdre,,Dry,,,,
83,14.5,Gapsted Wines,Screw Cap,Australia,2017,Sunday Drive Merlot 2017,Delivery Offer$120.00 per 2 cases,$14.99 per bottle,$89.00 per case of 6,,,King Valley,750ml,8.6,Victoria,Merlot,Medium Bodied,Dry,,,,
84,13.9%,Pepper Tree,Screw Cap,Australia,2016*,Shiraz,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Wrattonbully,750mL,8.2,South Australia,Shiraz,Full Bodied,Dry,,,,
85,,,,,,Unknown,,,,,,,,,,,,,,,,
86,13.0%,Katnook Estate,,Australia,2017*,Ten Acres Malbec,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,,Malbec,,Dry,,,,
87,14.5%,Nugan Estate,Screw Cap,Australia,2016*,Alcira Vineyard Cabernet Sauvignon,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,Awards: 2017 James Halliday Australian Wine Companion - 92 points (2014 Vintage) 2016 James Suckling USA (former Wine Spectator Edition) - 91 Points (2014 vintage,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
88,13.5%,Pikes,Screw Cap,Australia,2015*,The Dogwalk Cabernet Merlot,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 27 of 43 Cabernet Sauvignon from South Australia,Clare Valley,750mL,8.0,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
89,14.5%,McLaren Vale III Associates,Screw Cap,Australia,2012*,Giant Squid Ink Shiraz,$170.10 in any six,"$1,020.60 per case of 6",$179.00 per bottle,"Awards: Special Trophy - Best Red Wine of the Year AWC Vienna International Wine Challenge 2015, Trophy - Best Shiraz AWC Vienna International Wine Challenge 2015, Gold Medal 95pts - Decanter World Wine Awards 2016, Gold Medal - AWC Vienna International Wine Challenge 2015, Gold Medal - China Wine & Spirits Awards 2014, Gold Medal - New Zealand International Wine Show 2014, Gold Medal 96pts - Wine Showcase Magazine 2015, Gold Medal 5 stars - Winestate Magazine 2015 – Nominated for Wine of the Year","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
90,14.5% (2016),Kangarilla Road,Screw Cap,Australia,2016*,The Cul de Sac Shiraz,$12.99 per bottle,$74.40 per case of 6,$12.40 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6 (2016),South Australia,Shiraz,Full Bodied,Dry,,,,
91,14.5% (2015),Heartland,Screw Cap,Australia,2015*,Shiraz,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 65 of 109 Shiraz from Fleurieu,Langhorne Creek,750mL,8.6 (2015),South Australia,Shiraz,Full Bodied,Dry,,,,
92,14.5%,Schild Estate,Screw Cap,Australia,2017,Shiraz,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"Awards: Gold - Frankfurt Interntional Trophy 2018, Gold Medal - Melbourne IWC 2016, Silver Medal - Syrah Du Monde 2016, Bronze Medal - San Francisco IWC 2016","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
93,12.8,Stoney River,Screw Cap,Australia,2017,New Zealand Rose 2017,Delivery Offer$99.00 per case of 12,$17.99 per bottle,$215.88 per case of 12,,,Gisborne,750mL,7.6,,Gisborne Rose,,,,,,
94,14.2,By Jingo!,Screw Cap,Australia,,Reserva Montepulciano Zinfandel,$47.95 per bottle,$287.70 per case of 6,,,,,750mL,8.3,,Montepulciano Zinfan,,Dry,,,,
95,13.1,Wynns,Screw Cap,Australia,2015,V&A Lane Shiraz 2015,$49.99 per bottle,$284.94 per case of 6,$47.49 in any six,Ranked 4 of 16 Shiraz from Coonawarra,,Coonawarra,750mL,7.8,South Australia,Shiraz,Full Bodied,Dry,,,,
96,14.5,Cat Amongst The Pigeons,Screw Cap,Australia,2017*,Shiraz Cabernet,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,,8.6,South Australia,Shiraz Cabernet,Full Bodied,Dry,,,,
97,14,Berton Vineyards,Screw Cap,Australia,2015,Metal Range Cabernet Sauvignon 2018 Vintage,Delivery Offer$59.00 per case of 6,$11.49 per bottle,$66.00 per case of 6,,,,750mL,8.3,,Cabernet Sauvignon,Full Bodied,,,,,
98,14.5%,Evans & Tate,Screw Cap,Australia,2016*,Expressions Pile Driver Shiraz,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.6,Western Australia,Shiraz,Full Bodied,Dry,,,,
99,15%,Penley Estate,Screw Cap,Australia,2015*,Phoenix Cabernet Sauvignon,$18.99 in any six,$114.00 per case of 6,$19.99 per bottle,Awards: Gold Medal - China Wine & Spirits Awards Best Value 2018,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.9,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 23 of 30 Cabernet Sauvignon from Coonawarra,,,
100,13.50%,Penfolds,Cork,Australia,1991,Grange 1991,$850.00 per bottle,Ranked 2 of 19 Shiraz from Australia,,,,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,Exceptional,
101,12.5%,Bannockburn,Cork,Australia,2008*,Pinot Noir 2008,$84.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Geelong,750mL,7.4,Victoria,Pinot Noir,,Dry,,,,
102,14.0% (2016),Greedy Bird,Screw Cap,Australia,2016,Shiraz,$6.00 in any six,$36.00 per case of 6,$6.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3 (2016),,Shiraz,Full Bodied,Dry,,,,
103,14.5%,Shottesbrooke,Screw Cap,Australia,2015*,Expression Series Shiraz,$14.99 per bottle,$85.50 per case of 6,$14.25 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
104,14.5%,Teusner,Screw Cap,Australia,2017*,Joshua Grenache Shiraz Mourvèdre,$28.99 in any six,$173.94 per case of 6,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Grenache Shiraz Mourvèdre,Medium Bodied,Dry,,,,
105,14.5%,Secret Selection,Screw Cap,Australia,2016,McLaren Vale Shiraz 2016,Online Offer$29.90 per bottle,$69.90 in any six,$419.40 per case of 6,$73.50 per bottle,,McLaren Vale,750mL,8.6,South Australia,Shiraz,,,,,,
106,14.0%,MadFish,Screw Cap,Australia,2014*,Gold Turtle Shiraz,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 15 Shiraz from Frankland River,Great Southern,750mL,8.3,Western Australia,Shiraz,Full Bodied,Dry,,,,
107,14%,Grant Burge,Screw Cap,Australia,2016*,5th Generation Cabernet Merlot,$13.95 in any six,$83.70 per case of 6,$13.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa,750mL,8.3,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
108,14.0%,Saltram,Screw Cap,Australia,2016*,Mamre Brook Cabernet Sauvignon,$29.99 per bottle,$170.94 per case of 6,$28.49 in any six,Awards: Gold Medal - Royal Adelaide Wine Show 2014,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
109,13.50%,Banrock Station,Cask Closure,Australia,Non Vintage,Cabernet Merlot Cask 2L,$11.95 each,$68.40 per case of 6,,,,,2L,21,South Australia,Cabernet Merlot,,Dry,,,,
110,14.5%,Langmeil,Screw Cap,Australia,2017*,Hangin' Snakes Shiraz,$19.99 per bottle,$113.94 per case of 6,$18.99 in any six,Awards: Gold Medal - Berlin Wine Trophy Awards 2017.,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
111,14.5%,Brown Brothers,Screw Cap,Australia,2017,18 Eighty Nine Tempranillo,$15.19 in any six,$91.14 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,King Valley,750mL,8.6,Victoria,Tempranillo,Full Bodied,Dry,,,,
112,14.5%,Tatachilla,Screw Cap,Australia,2015*,McLaren Vale Shiraz 2014,$13.20 in any six,$79.20 per case of 6,$13.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
113,14.50%,Penfolds,Screw Cap,Australia,2015,Bin 138 Shiraz Grenache Mataro 2015,$37.00 in any six,$222.00 per case of 6,$38.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 3 of 15 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Shiraz Grenache Mataro,Medium Bodied,Dry,,,,
114,14.0% (2015),Evans & Tate,Screw Cap,Australia,2015*,Metricup Road Cabernet Merlot,$13.20 in any six,$79.20 per case of 6,$13.90 per bottle,"Awards: 2 Gold Medals - China Wine and Spirits Awards 2017 (2015 vintage),  Royal Queensland Wine Show 2017","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.3 (2015),Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
115,13.0% (2011),Lark Hill,Screw Cap,Australia,2011*,Biodynamic Pinot Noir,$42.80 in any six,$513.60 per case of 12,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 10 of 17 Pinot Noir from New South Wales,Canberra District,750mL,7.7 (2011),Australian Capital Territory,Pinot Noir,Light Bodied,Dry,,true,,
116,14.5%,Tar & Roses,Screw Cap,Australia,2017,Sangiovese,$20.89 in any six,$125.34 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 31 Sangiovese from Australia,Heathcote,750mL,8.6,Victoria,Sangiovese,Medium Bodied,Dry,,,,
117,14% (2009),Reschke,Cork,Australia,2009*,Bos Cabernet Sauvignon,$36.99 per bottle,$211.20 per case of 6,$35.20 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.3 (2009),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
118,9.5%,Banrock Station,Screw Cap,Australia,2017*,Crimson Cabernet,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,5.6,South Australia,Cabernet Sauvignon,,Sweet,,,,
119,14.5%,Chapel Hill,Screw Cap,Australia,2016*,Gorge Block Cabernet Sauvignon,$56.05 in any six,$336.30 per case of 6,$58.99 per bottle,Awards: Gold Medal and Trophy for Best Cabernet Sauvignon – Sydney Royal Wine Show 2018,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 7 of 22 Cabernet Sauvignon from McLaren Vale,,,
