,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Vegan Friendly,Price Option 4,Organic,Langtons Classified
93,13.9%,Yering Station,,Australia,2014*,Reserve Shiraz Viognier,$123.50 in any six,$741.00 per case of 6,$129.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.2,Victoria,Shiraz Viognier,,Dry,,Ranked 3 of 17 Shiraz from Victoria,,
94,13.7%,Alcorso,Screw Cap,Australia,2011*,Pinot Noir Tasmania 2011,$94.10 in any six,$564.60 per case of 6,$98.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.1,Tasmania,Pinot Noir,,,,,,
95,14.5%,Woodvale,Screw Cap,Australia,2014,Woodberry Shiraz 2014,$42.80 in any six,$256.80 per case of 6,$45.00 per bottle,,Clare Valley,750mL,8.6,South Australia,Shiraz,,,,,,
96,14,Millbrook,Screw Cap,Australia,2011,Limited Release Shiraz 2011,Delivery Offer$240.00 per case of 6,$45.00 per bottle,$270.00 per case of 6,Dry Red,"Great Southern, Margaret River, Perth Hills",750mL,8.3,FRE,Shiraz,Full Bodied,Dry,,,,
97,,,,,,Unknown,,,,,,,,,,,,,,,
98,13.5%,Woodside Park,Screw Cap,Australia,2017,Rose 2017,$20.00 per bottle,$120.00 per case of 6,,,Adelaide Hills,750mL,8,South Australia,Pinot Noir,Light Bodied,Dry,,,,
99,14%,Beresford ,Screw Cap,Australia,2016,Classic Grenache Shiraz Mourvedre 2016,$27.99 per bottle,$167.94 per case of 6,Awards: Gold Medal - 2018 Perth Royal Wine Awards,,,750mL,8.3,South Australia,Grenache Shiraz Mourvedre,,,,,,
100,13.8%,Beresford ,Screw Cap,Australia,,Estate Cabernet Sauvignon,$49.99 per bottle,$299.94 per case of 6,,,,750mL,8.2,South Australia,Cabernet Sauvignon,,,,,,
101,14.5%,Beresford ,Screw Cap,Australia,,Estate MLV Grenache,$49.99 per bottle,$299.94 per case of 6,,,,750mL,8.6,South Australia,Grenache,,,,,,
102,14.5,Marley Farm,Screw Cap,Australia,2016,McLaren Vale Shiraz 2016,$19.99 per bottle,$239.00 per case of 12,Awards: Blue Gold Award - Sydney International Wine Competition 2017. Gold Medal – Sommelier Challenge International Wine and Spirit Awards 2017. Gold Medal - China Wine and Spirit Awards Best Value 2017. Gold Medal - China Wine and Spirit Awards 2017,,McLaren Vale,750ml,8.3,,Shiraz,Full Bodied,,,,,
103,14.2,By Jingo!,Screw Cap,Australia,,Nero Rosso,$29.95 per bottle,$179.70 per case of 6,,,,750mL,8.3,,Grenache Blend,,Dry,,,,
104,14.0%,Peacock's Tail,Screw Cap,Australia,,Tempranillo South Austrlalia 750mL,$25.00 per bottle,$150.00 per case of 6,,,Fleurieu,750mL,8.3,South Australia,Tempranillp,Medium Bodied,Dry,true,,,
105,14.5,Haselgrove Legend Th,Cork,Australia,2015,Legend The Ambassador Single Vineyard Shiraz 2015,$191.08 per pack of 2,$573.24 per case of 6,Ranked 45 of 95 Shiraz from McLaren Vale,,,750mL,8.6,,Shiraz,Full Bodied,,,,,
106,14.5,Lisa McGuigan,Screw Cap,Australia,2016,Platinum Maximus Shiraz 2016,$78.46 per pack of 2,$470.76 per case of 12,,,,750mL,8.6,,Red Wine,Full Bodied,,,,,
107,14.8,Smidge,Cork,Australia,2012,S Smitch Shiraz 2013,$236.24 per pack of 2,$708.72 per case of 6,,,,750mL,8.8,,Shiraz,Full Bodied,Shiraz,,,,
108,13.4%,St Leonards Vineyard,Screw Cap,Australia,,Rosé,$28.00 per bottle,$168.00 per case of 6,,,Rutherglen,750ml,7.7,Victoria,Cabernet Franc and Cabernet Sauvignon,,Dry,,,,
109,14.0,Old Jarvie,Screw Cap,Australia,2015,The Saviour Red Blends 2015,$29.99 per bottle,$173.94 per case of 6,,,,750mL,8.3,,,,Dry,,,,
110,14.5%,Chalmers,Screw Cap,Australia,,Sagrantino,$33.99 per bottle,$203.50 per case of 6,,,Heathcote,750mL,8.6,Victoria,Sagrantino,Medium Bodied,Dry,,,,
111,13.5%,Onannon,Screw Cap,Australia,,Mornington Peninsula Pinot Noir,$38.99 per bottle,$233.94 per case of 6,,,Mornington Peninsula,750mL,8,Victoria,Pinot Noir,Medium Bodied,Dry,true,,,
112,13.5%,S.C. Pannell,Screw Cap,Australia,,Nebbiolo Rosé,$35.49 per bottle,$425.88 per case of 12,,,Adelaide Hills,750mL,8.3,South Australia,Nebbiolo,Light Bodied,Dry,,,,
113,14,Montara,Cork,Australia,2012,Chalamber Road Reserve Grampians Pinot Noir N2012,$66.49 per bottle,$398.94 per case of 6,Dry Red,,Grampians,750mL,8,FRE,Pinot Noir,Light Bodied,Pinot Noir,,,,
114,14.7,Domaine Asmara,Cork,Australia,2014,Reserve Cabernet Sauvigon 2014,$39.00 per bottle,$220.00 per case of 6,"Awards: Trophy Winner, Heathcote Wine Show. Plus Gold Medal 96/100 pts Wine Showcase Magazine.",,Heathcote,750mL,8.7,,Cabernet Sauvignon,Full Bodied,Cabernet Sauvignon,,,,
115,15%,Domaine Asmara,Cork,Australia,2017,Infinity Shiraz 2017,$79.00 per bottle,$474.00 per case of 6,,,Heathcote,750mL,8.8,,Shiraz,Full Bodied,Dry,,,,
116,13,Michelini,Screw Cap,Australia,2016,Merlot,$20.00 per bottle,$240.00 per case of 6,Awards: 5 stars Winestate Magazine,,Alpine Valleys,750mL,8,Victoria,Merlot,Medium Bodied,Merlot,,,,
117,13.5,Terindah Estate,Screw Cap,Australia,,Terroir Series Road Block Pinot Noir 2015,$47.00 per bottle,$450.00 per case of 12,"Awards: 91 Points from James Halliday (2018 Halliday Wine Companion)
Silver medal at 2017 Victorian Wine Show
Bronze medal at 2018 International Cool Climate Wine Show
Bronze medal at 2017 International Cool Climate Wine Show
Bronze medal at 2017 Australian National Single Vineyard Wine Show
Bronze medal at 2017 Australian & NZ Boutique Wine Show",,Bellarine Peninsula,750mL,8,Victoria,Pinot Noir,Light Bodied,,,,,
118,13,Terindah Estate,Screw Cap,Australia,2015,Single Vineyard Zinfandel 2017,$47.00 per bottle,$450.00 per case of 12,,,Bellarine Peninsula,750mL,7.7,,Zinfandel,,,,,,
119,12.5,Beelgara Estate,Screw Cap,Australia,,Rose 2018,$9.50 per bottle,$108.00 per case of 12,,,NSW,750mL,7.4,New South Wales,Rose,Light Bodied,,,,,
