,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Langtons Classified,Price Option 4,Wine Body,Vegan Friendly,Price Option 5,Organic
92,12.5%,Nepenthe,Screw Cap,Australia,2016*,Pinnacle Ithaca Chardonnay,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.4,South Australia,Chardonnay,Dry,,Ranked 33 of 64 Chardonnay from Adelaide Hills,,,,
93,11.5% (2015),Wolf Blass,Screw Cap,Australia,2015*,White Label Riesling,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"Awards: Gold - Canberra International Riesling Challenge 2015, Gold - Royal Queensland Wine Show 2016, Gold - International Riesling Competition 2017",Eden Valley,750mL,6.8 (2015),South Australia,Riesling,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
94,11.5% (2011),Lark Hill,Screw Cap,Australia,2011*,Biodynamic Riesling,$33.25 in any six,$399.00 per case of 12,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,6.8 (2011),Australian Capital Territory,Riesling,Dry,,,,,,true
95,11.5%,O'Leary Walker,Screw Cap,Australia,2017*,The Lucky Punter Sauvignon Blanc,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,Awards: 2 Trophies - Royal Adelaide Wine Show 2012. Gold - Royal Adelaide Wine Show 2012,Adelaide Hills,750mL,6.8,South Australia,Sauvignon Blanc,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
96,12.5%,Tasmanian Hill,,Australia,2017*,Sauvignon Blanc,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4,,Sauvignon Blanc,,,,,,,
97,13.5%,Secret Selection,Screw Cap,Australia,2016*,Yarra Valley Chardonnay 2016,Online Offer$11.90 per bottle,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,,750mL,8.0,,Chardonnay,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
98,13.5,Baily & Baily,Screw Cap,Australia,2018*,Folio Chardonnay,$10.50 in any six,$63.00 per case of 6,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8,Western Australia,Chardonnay,Dry,,,,,,
99,12.5% (2015),Battle of Bosworth,Screw Cap,Australia,2015*,Sauvignon Blanc,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,7.4 (2015),South Australia,Sauvignon Blanc,Dry,,,,,,true
100,13.0% (2014),Stella Bella,Screw Cap,Australia,2014*,Chardonnay,$31.40 in any six,$376.80 per case of 12,$32.99 per bottle,Awards: Gold - Dan Murphy's National Wine Show 2011,Margaret River,750mL,7.7 (2014),Western Australia,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Ranked 35 of 86 Chardonnay from Margaret River,
101,13.0% (2014),Castagna,Cork,Australia,2014*,Growers Selection Beechworth Chardonnay,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Beechworth,750mL,7.7 (2014),Victoria,Chardonnay,Dry,,Ranked 28 of 121 Chardonnay from Victoria,,,,
102,12.5,Tyrrell's,Screw Cap,Australia,2017*,Fordwich Verdelho,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,7.4,New South Wales,Verdelho,Dry,,,,,,
103,13.2%,La Bise,Screw Cap,Australia,2016*,Arneis,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.8,South Australia,Arneis,Dry,,,,,,true
104,12.4%,Hungerford Hill,Screw Cap,Australia,2015*,Chardonnay,$28.50 in any six,$159.60 per case of 6,$29.99 per bottle,"Awards: Two Gold - Sydney International Wine Competition 2015, Cairns Wine Show 2014.",Tumbarumba,750mL,7.3,New South Wales,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
105,12.5% (2015),Pauletts,Screw Cap,Australia,2015*,Riesling,$19.95 in any six,$239.40 per case of 12,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.4 (2015),South Australia,Riesling,Dry,,Ranked 26 of 55 Riesling from Clare Valley,,,,
106,1450.00%,Le Tour,Screw Cap,Australia,2015*,Chardonnay,$5.00 in any six,$30.00 per case of 6,$5.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,,Chardonnay,Dry,,,,,,
107,13.5%,Hardys,Screw Cap,Australia,2017*,The Chronicles The Gamble Chardonnay,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Limestone Coast,750mL,8.0,South Australia,Chardonnay,Dry,,,,,,
108,12.0% (2017),Poole's Rock,Screw Cap,Australia,2017*,Premiere Semillon,$36.10 in any six,$216.60 per case of 6,$37.99 per bottle,Awards: Gold Medals - Royal Adelaide Wine Show 2016 & Royal Adelaide Wine Show 2015 & Sydney Royal Wine Show 2014; Top Gold - National Wine Show of Australia 2015,Hunter Valley,750mL,7.1 (2014),New South Wales,Semillon,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
109,13.5% (2016),Omrah,Screw Cap,Australia,2016*,Chardonnay,$15.19 in any six,$91.14 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3 (2016),Western Australia,Chardonnay,Dry,,,,,,
110,12%,Yalumba,Cask Closure,Australia,2017*,Premium Unwooded Chardonnay 2L,$12.99 each,$74.40 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,2L,19.0,,Chardonnay,Dry,,,,true,,
111,13.5% (2015),Spring Vale,Screw Cap,Australia,2015*,Gewurztraminer,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Southern Tasmania,750mL,8 (2015),Tasmania,Gewürztraminer,Dry,,,,,,
112,12.5%,Swan Bay,Screw Cap,Australia,2017*,Sauvignon Blanc,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Bellarine Peninsula,750mL,7.4,Victoria,Sauvignon  Blanc,,,,,,,
113,13%,Oakridge,Screw Cap,Australia,2017*,Over The Shoulder Pinot Grigio,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7,Victoria,Pinot Grigio,Dry,,,,,,
114,13%,Printhie,Screw Cap,Australia,2018*,Sauvignon Blanc,$18.05 in any six,$216.60 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Orange,750mL,7.7,New South Wales,Sauvignon Blanc,Dry,,,,,,
115,10.9,Gundog Estate,Screw Cap,Australia,2017,2017 Gundog Estate Hunter's Semillon,$30.00 per bottle,$180.00 per case of 6,Ranked 14 of 30 Sémillon from Lower Hunter,,Hunter Valley,750mL,6.5,,Semillon,,,,,,,
116,12,Pete's Pure,Screw Cap,Australia,,Pinot Grigio,$14.99 per bottle,$179.88 per case of 12,,,Murray Darling,750mL,7.1,New South Wales,Pinot Grigio,Semi Dry,,,Light Bodied,true,,
117,12%,Howard Park,Screw Cap,Australia,2017*,Great Southern Riesling,$25.65 in any six,$152.25 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,7.1,Western Australia,Riesling,Dry,,,,,,
118,11.50%,Tim Adams,Screw Cap,Australia,,Riesling 2012,$24.70 in any six,$148.20 per case of 6,$25.99 per bottle,Ranked 28 of 66 Riesling from Clare Valley,Clare Valley,750mL,6.8,South Australia,Riesling,Dry,,,,,,
119,13.0% (2015),Bannockburn,Cork,Australia,2015*,Sauvignon Blanc,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,7.7 (2015),Victoria,Sauvignon Blanc,Dry,,Ranked 1 of 17 Sauvignon Blanc from Port Phillip,,,,
