,Name,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Wine Style,Price Option 4,Region,State,Vegan Friendly,Price Option 5,Langtons Classified,Organic
91,Sauvignon Blanc Semillon,12% (2017),Franklin Tate Estates,Screw Cap,Australia,2017*,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"Awards: Top 100/Blue Gold - Sydney International Wine Competition 2019, Top 100/Blue Gold - Sydney International Wine Competition 2018
Gold 2017 Rutherglen Wine Show
Gold 2018 China Wine and Spirits Awards
Double Gold, 2019 China Wine and Spirits Awards",750mL,7.1 (2017),Sauvignon Blanc Semillon,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,,,,
92,Chardonnay,13%,Rawson's Retreat,Screw Cap,Australia,2017*,$7.60 in any six,$45.60 per case of 6,$7.99 per bottle,Awards: Gold Medal - Rutherglen Wine Show,750mL,7.7,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
93,Gold Turtle Semillon Sauvignon Blanc,13.0% (2016),MadFish,Screw Cap,Australia,2016*,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2016),Semillon Sauvignon Blanc,Dry,,Margaret River,Western Australia,,,,
94,Verdelho 2018,12.6%,Molly's Cradle,Screw Cap,Australia,2018,Delivery Offer$79.00 per case of 6,$18.00 per bottle,$108.00 per case of 6,Dry White,750mL,7.5,Verdelho,Verdelho,,Hunter Valley,New South Wales,,,,
95,Clonale Chardonnay,13.5% (2016),Kooyong,Screw Cap,Australia,2016*,$27.60 in any six,$165.60 per case of 6,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0 (2016),Chardonnay,Dry,Ranked 40 of 47 Chardonnay from Mornington Peninsula,Mornington Peninsula,Victoria,,,,
96,Crisp Dry White Cask 5L,11%,Berri Estates,Cask Closure,Australia,Non Vintage*,$15.99 per cask,$28.90 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,5L,43.0,White Blend,Dry,,,South Australia,,,,
97,Premium Semillon Sauvignon Blanc Cask 4L,12%,Renmano,Cask Closure,Australia,Non Vintage,$14.99 each,$57.20 per case of 4,,,4L,38,Semillon Sauvignon Blanc Chardonnay,Dry,,,,,,,
98,Chardonnay,13.2%,Elephant in the Room,,Australia,2017*,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.8,Chardonnay,Dry,,,,,,,
99,Bin 51 Eden Valley Riesling 2018,12.0%,Penfolds,Screw Cap,Australia,,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,,750mL,7.1,Riesling,,,Eden Valley,South Australia,,,,
100,Sauvignon Blanc Semillon,11.5%,Pikes,Screw Cap,Australia,2017*,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.8,Sauvignon Blanc Semillon,Dry,,Clare Valley,South Australia,,,,
101,Chardonnay Cask 4L,13.00%,Renmano,Cask Closure,Australia,Non Vintage,$14.99 each,$57.20 per case of 4,,,4L,41,Chardonnay,Dry,,,,,,,
102,King Valley Pinot Grigio,12.5% (2017),Nugan Estate,Screw Cap,Australia,2017*,$17.09 in any six,$205.08 per case of 12,$17.99 per bottle,Awards: 2016 James Halliday Australian Wine Companion - 5 Star Winery 2016 Royal Melbourne Wine Show - 93 Points (2016 vintage) 2018 James Halliday Australian Wine Companion - 90 Points (2016 vintage) 2016 Australian Italian Varieties Wine Awards - Gold (2016 vin,750mL,7.7 (2015),Pinot Grigio,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",King Valley,Victoria,,,,
103,Semillon Sauvignon Blanc,12.9%,Pepper Tree,Screw Cap,Australia,2018*,$17.10 in any six,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.6,Semillon Sauvignon Blanc,Dry,,,New South Wales,,,,
104,Old Winery Verdelho,13%,Tyrrell's,Screw Cap,Australia,2017*,$10.45 in any six,$62.70 per case of 6,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Verdelho,Dry,,Hunter Valley,New South Wales,,,,
105,Organic Pinot Grigio,13%,Nature's Step,Screw Cap,Australia,2018*,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Pinot Grigio,Dry,,,South Australia,true,,,true
106,Above 500m Chardonnay,13,Heggies Vineyard,Screw Cap,Australia,2016*,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"*Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.""",750mL,7.7,Chardonnay,Dry,Ranked 55 of 109 Chardonnay from South Australia,,South Australia,,,,
107,Granite Ridge Chardonnay,13%,Howard Park,Screw Cap,Australia,2017,$24.70 in any six,$148.20 per case of 6,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Chardonnay,,,Great Southern,Western Australia,,,,
108,Sauvignon Blanc Cask 2L,12.5%,Banrock Station,Cask Closure,Australia,Non Vintage*,$11.95 per cask,$68.40 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,2L,20.0,Sauvignon Blanc,Dry,,,South Australia,,,,
109,Two's Company West Coast White Blend,12.5%,Evans & Tate,Screw Cap,Australia,2016*,Member Offer$6.90 per bottle,$10.50 in any six,$63.00 per case of 6,$10.99 per bottle,750mL,7.4,Sauvignon Blanc Chenin Blanc Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Western Australia,,,,
110,Premium Chardonnay Cask 2L,13.0% (2014),Yalumba,Cask Closure,Australia,2014*,$12.99 each,$74.40 per case of 6,,,2L,21.0 (2014),Chardonnay,Dry,,,South Australia,true,,,
111,Lifestyle Chardonnay,13.0%,Forester Estate,,Australia,2017,$19.00 in any six,$191.65 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.8,Chardonnay,,,,,,,,
112,No.19 Sauvignon Blanc,13.1%,Philip Shaw,Screw Cap,Australia,2016*,$22.80 in any six,$131.10 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.8,Sauvignon Blanc,Dry,,Orange,New South Wales,,,,
113,Chardonnay,12.5% (2012),Super Saver Six,Screw Cap,Australia,2012*,$18.00 per case of 6,$3.49 per bottle (in store),"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4 (2012),Chardonnay,Dry,,,,,,,
114,Semillon Sauvignon Blanc,12%,West Cape Howe,Screw Cap,Australia,2017*,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,Semillon Sauvignon Blanc,Dry,Ranked 13 of 22 Sémillon from South West Australia,Great Southern,Western Australia,,,,
115,Chardonnay,14%,Cape Mentelle,Screw Cap,Australia,2017,$37.05 in any six,$222.30 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Chardonnay,Dry,,Margaret River,Western Australia,,,,
116,Peggy's Hill Riesling,12.6%,Henschke,Screw Cap,Australia,2017,$18.99 per bottle,$108.30 per case of 6,$18.05 in any six,Awards: Gold Medal - National Wine Show of Australia 2017; Gold Medal - Royal Adelaide Wine Show 2017; Riesling Trophy - National Wine Show of Australia 2017,750mL,7.5,Riesling,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,South Australia,,,,
117,Perfect Pick Sauvignon Blanc,12.5%,Evans & Tate,Screw Cap,Australia,2017*,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Sauvignon Blanc,Dry,,Margaret River,,,,,
118,HRB Chardonnay,13%,Hardys,Screw Cap,Australia,2015*,Member Offer$25.00 per bottle,$30.40 in any six,$182.40 per case of 6,$31.99 per bottle,750mL,7.7,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,South Australia,,Ranked 235 of 521 Chardonnay from Australia,,
119,Watervale Riesling,12.5%,Vickery,Screw Cap,Australia,2018*,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Riesling,Dry,,Clare Valley,South Australia,,,,
