,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Style,Wine Body,Price Option 5,Vegan Friendly,Langtons Classified,Organic
87,13%,Brown Brothers,Screw Cap,Australia,2017*,18 Eighty Nine Chardonnay,$15.19 in any six,$91.14 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,King Valley,750mL,7.7,Victoria,Chardonnay,Dry,,,,,
88,10%,Berri Estates,Cask Closure,Australia,Non Vintage*,Fruity Gordo Cask 5L,$15.99 per cask,$28.90 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,5L,39.0,South Australia,White Blend,Sweet,,,,,
89,9.50%,Coolabah,Cask Closure,Australia,Non Vintage,Dolce Bianco Cask 5L,$12.99 each,$24.80 per case of 2,,,,,5L,37.5,,White Blend,Sweet,,,,,
90,13.1%,Oakridge,,Australia,2017,Hazeldene Chardonnay,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,"Awards: 96pts Gold - Royal Melbourne Wine Show Awards 2017,  Gold - National Wine Show Of Australia 2017","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.8,,Chardonnay,,,,,,
91,12%,Tempus Two,Screw Cap,Australia,2017*,Chardonnay,$11.39 in any six,$68.34 per case of 6,$11.50 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.1,New South Wales,Chardonnay,Dry,,,,,
92,10%,Lindeman's,Screw Cap,Australia,Non Vintage*,Porphyry Sweet Blanc,$4.70 in any six,$28.20 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,5.9,Victoria,,Sweet,,,,,
93,12%,Wild Oats,Screw Cap,Australia,2017*,Sauvignon Blanc Semillon,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.1,,Sauvignon Blanc Semillon,Dry,,,,,
94,13.5%,Wolf Blass,Screw Cap,Australia,2017,Red Label Sauvignon Blanc,$8.50 in any six,$35.70 per case of 6,$8.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8,,Sauvignon Blanc,,,,,,
95,10%,Mount Pleasant,Screw Cap,Australia,2016*,Elizabeth Semillon,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Hunter Valley,750mL,5.9,New South Wales,Semillon,Dry,,,,,
96,11.50%,De Bortoli,Cask Closure,Australia,Non Vintage,Premium Reserve Pinot Grigio 2L,$9.99 per cask,$57.00 per case of 6,,,,,2L,18.1,New South Wales,Pinot Grigio,Dry,,,,,
97,10.5%,De Bortoli,Screw Cap,Australia,2016*,Noble One Botrytis Semillon 750mL,$55.10 in any six,$330.60 per case of 6,$57.99 per bottle,Awards: ?Trophy and Gold Medal (2013 vintage) - Sydney Wine Show 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Riverina,750mL,6.2,New South Wales,Semillon,Sweet,,,,Outstanding,
98,11%,Kirrihill,Screw Cap,Australia,2018*,Regional Riesling,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"Awards: Gold Medal - Royal Adelaide Wine Show 2016 & Rutherglen Wine Show 2016, Silver Medal - Perth Royal Show 2016","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,6.5,South Australia,Riesling,Dry,,,,,
99,,,,,,Unknown,,,,,,,,,,,,,,,,
100,13%,Banrock Station,Cask Closure,Australia,Non Vintage*,Chardonnay Cask 2L,$11.95 each,$68.40 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,2L,21.0,South Australia,Chardonnay,Dry,,,,,
101,13.2%,TarraWarra Estate,Screw Cap,Australia,2016*,Chardonnay,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 40 of 59 Chardonnay from Yarra Valley,Yarra Valley,750mL,7.8,Victoria,Chardonnay,Dry,,,,,
102,12,Berton Vineyards,Screw Cap,Australia,2017,Metal Range Sauvignon Blanc 2018,Delivery Offer$59.00 per case of 6,$11.49 per bottle,$66.00 per case of 6,,,,750mL,7.1,,Sauvignon Blanc,,,,,,
103,12.5%,Colab and Bloom,Screw Cap,Australia,2017,Pinot Gris 2017,$19.95 per bottle,$119.70 per case of 6,"Awards: Platinum Trophy Winemaker's Challenge 2018 94 Points
Gold Medal - China Wine & Spirits Awards Best Value 2018
Gold Medal - San Diego International Wine Challenge 2018",,,Adelaide Hills,750mL,7.5,South Australia,Pinot Gris,,,,,,
104,,,,,,Unknown,,,,,,,,,,,,,,,,
105,11.5,Audrey Wilkinson,Screw Cap,Australia,2017,Audrey Wilkinson Semillon Sauvignon Blanc 2017,$18.99 per bottle,$108.30 per case of 6,,,,Hunter Valley/Adelaide Hills,750mL,6.8,,Semillon Sauvignon B,Dry,,,,,
106,13%,MadFish,Screw Cap,Australia,2017*,Premium White Chardonnay,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,Western Australia,Chardonnay,Dry,,,,,
107,12%,Petaluma,Screw Cap,Australia,2017*,White Label Sauvignon Blanc,$21.85 in any six,$131.10 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,7.1,South Australia,Sauvignon Blanc,Dry,,,,,
108,13%,Seppelt,Screw Cap,Australia,2017*,The Great Entertainer Chardonnay,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,Victoria,Chardonnay,,,,,,
109,12.5%,O'Leary Walker,Screw Cap,Australia,2017*,Polish Hill River Riesling,$20.89 in any six,$125.34 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 14 of 70 Riesling from Clare Valley,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,,,,,
110,12.5%,Xanadu,Screw Cap,Australia,2017*,Fusion Chardonnay,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.4,Western Australia,Chardonnay,Dry,,,,,
111,13.5%,Pepper Tree,Screw Cap,Australia,2017*,Chardonnay,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,New South Wales,Chardonnay,Dry,,,,,
112,6.00%,Cleanskin,Screw Cap,Australia,Non Vintage,No 33 Moscato,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,3.6,,Moscato,Semi Sweet,,,,,
113,13.0%,Cleanskin,Screw Cap,Australia,2016*,No 05 Adelaide Hills Pinot Grigio,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,Victoria,Pinot Gris,Dry,,,,,
114,13.2% (2012),Kooks,Screw Cap,Australia,2012*,Labour of Love Chardonnay,$14.99 per bottle,$85.50 per case of 6,$14.25 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,7.8 (2012),Victoria,Chardonnay,Dry,,,,,
115,11%,Loxwood Lane,Screw Cap,Australia,2017,Adelaide Hills Sauvignon Blanc,$6.60 in any six,$39.60 per case of 6,$6.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,6.5,South Australia,Sauvignon Blanc,,,,,,
116,11.0%,De Bortoli,Screw Cap,Australia,2017*,First Block Semillon Sauvignon Blanc,$7.00 in any six,$42.00 per case of 6,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,6.5,,Semillon Sauvignon Blanc,Dry,,,,,
117,12.5%,Voyager Estate,Screw Cap,Australia,2017,Margaret River Chenin Blanc,$16.95 in any six,$101.49 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.4,Western Australia,Chenin,Dry,,,,,
118,11.5%,Thorn-Clarke,Screw Cap,Australia,2018*,Sandpiper Riesling,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 10 of 15 Riesling from Eden Valley,Eden Valley,750mL,6.8,South Australia,Riesling,Dry,,,,,
119,13.5% (2015),Gembrook Hill,Screw Cap,Australia,2015*,Sauvignon Blanc,$34.19 in any six,$410.28 per case of 12,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 3 of 17 Sauvignon Blanc from Port Phillip,Yarra Valley,750mL,8 (2015),Victoria,Sauvignon Blanc,Dry,,,,,
