,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 5,Vegan Friendly
99,14.00%,Moss Wood,Screw Cap,Australia,2006,Cabernet Sauvignon 2006,$164.99 per bottle,Ranked 2 of 15 Cabernet Sauvignon from South West Australia,,,,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Exceptional,,
100,14.50%,d'Arenberg,Cork,Australia,1999,The Dead Arm Shiraz 1999,$124.99 per bottle,,,,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,
101,13.50%,Leeuwin Estate,Screw Cap,Australia,2003,Art Series Cabernet Sauvignon 2003,$119.99 per bottle,,,,,Margaret River,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Excellent,,
102,14.0% (2005),Evans & Tate,Cork,Australia,2005*,Private Bin Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,Margaret River,750mL,8.3 (2005),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
103,13.80%,Cullen,Screw Cap,Australia,2008,Diana Madeline Cabernet Sauvignon Merlot 2008,$174.99 per bottle,Ranked 3 of 46 Cabernet Sauvignon from Margaret River,,,,Margaret River,750mL,8.2,Western Australia,Cabernet Merlot,Full Bodied,Dry,Exceptional,,
104,13.5% (2009),Moss Wood,Screw Cap,Australia,2009*,Pinot Noir,$56.10 in any six,$673.20 per case of 12,$58.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 15 Pinot Noir from South West Australia,Margaret River,750mL,8.0 (2009),Western Australia,Pinot Noir,Light Bodied,Dry,,,
105,13.5% (2012),Cullen,Screw Cap,Australia,2012*,Vanya Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 63 Cabernet Sauvignon from Margaret River,,,,Margaret River,750mL,8.0 (2012),Western Australia,Cabernet Sauvignon Petit Verdot,Full Bodied,Dry,,,
106,14.0% (2012),Xanadu,Screw Cap,Australia,2012*,Stevens Road Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 63 Cabernet Sauvignon from Margaret River,,,,Margaret River,750mL,8.3 (2012),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
107,13.00%,Cullen,Screw Cap,Australia,,Diana Madeline 2010,$129.99 per bottle,Ranked 2 of 41 Cabernet Sauvignon from Margaret River,,,,Margaret River,750mL,7.7,Western Australia,Cabernet Blends,,Dry,Exceptional,,
108,14.0% (2014),Gentleman's Agreement,Screw Cap,Australia,2014*,Margaret River Cabernet Sauvignon,$6.88 per bottle,$41.28 per case of 6,$6.88 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.3 (2014),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
109,14.00%,Leeuwin Estate,Cork,Australia,2001,Art Series Cabernet Sauvignon 2001,$84.99 per bottle,,,,,Margaret River,750mL,8.2,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Excellent,,
110,13.00%,Leeuwin Estate,Screw Cap,Australia,,Art Series Cabernet Sauvignon 2008,$89.99 per bottle,"$1,026.00 per case of 12",$85.50 in any six,Ranked 6 of 51 Cabernet Sauvignon from Margaret River,,Margaret River,750mL,7.7,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
111,13.80%,Cullen,Screw Cap,Australia,2008,Diana Madeline Cabernet Sauvignon Merlot 2008,$174.99 per bottle,Ranked 3 of 46 Cabernet Sauvignon from Margaret River,,,,Margaret River,750mL,8.2,Western Australia,Cabernet Merlot,Full Bodied,Dry,Exceptional,,
112,14.50%,Watershed,Screw Cap,Australia,,Senses Shiraz 2011,Ranked 4 of 35 Shiraz from Margaret River,,,,,Margaret River,750mL,8.6,Western Australia,Shiraz,Full Bodied,Dry,,,
113,14.0% (2013),Penfolds,Screw Cap,Australia,2013*,Koonunga Hill Cabernet Merlot,$10.95 in any six,$65.70 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.3 (2013),South Australia,Cabernet Merlot,Medium Bodied,Dry,,,
114,14.0% (2012),Xanadu,Screw Cap,Australia,2012*,Stevens Road Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 63 Cabernet Sauvignon from Margaret River,,,,Margaret River,750mL,8.3 (2012),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
115,13.00%,Cullen,Screw Cap,Australia,,Diana Madeline 2010,$129.99 per bottle,Ranked 2 of 41 Cabernet Sauvignon from Margaret River,,,,Margaret River,750mL,7.7,Western Australia,Cabernet Blends,,Dry,Exceptional,,
116,15.00%,Wolf Blass,Screw Cap,Australia,,Black Label Cabernet Sauvignon Shiraz 2010,$103.60 in any six,$621.60 per case of 6,$109.00 per bottle,"Awards: 2 Trophies and Gold Medal - The Great Australian Red 2013. 2 Gold Medals -Royal Adelaide Wine Show 2014, China Wine & Spirit Awards 2013",Ranked 2 of 61 Cabernet Sauvignon from South Australia,,750mL,8.9,South Australia,Cabernet Sauvignon Shiraz,,Dry,,,
117,14.00%,Leeuwin Estate,Cork,Australia,2001,Art Series Cabernet Sauvignon 2001,$84.99 per bottle,,,,,Margaret River,750mL,8.2,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Excellent,,
118,14.50%,Moss Wood,Cork,Australia,1998,Cabernet Sauvignon 1998,$249.99 per bottle,,,,,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Exceptional,,
119,13.50%,Devil's Lair,Screw Cap,Australia,2006,Cabernet Sauvignon Merlot 2006,$47.49 in any six,$284.94 per case of 6,$49.99 per bottle,,,Margaret River,750mL,8,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,
