,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 4,Vegan Friendly,Wine Body,Langtons Classified,Organic,Price Option 5
90,12.5%,Laventura,,Australia,,Viura,$39.95 per bottle,$479.40 per case of 12,,,,750mL,7.3,,Viura,,,,,,,
91,12.5% (2016),Two Rivers,Screw Cap,Australia,2016*,Wildfire Unwooded Chardonnay,$13.29 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,7.4 (2016),New South Wales,Chardonnay,Dry,,,,,,
92,13%,Kangarilla Road,Screw Cap,Australia,2018,The Side Road Chardonnay 2018,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,,Adelaide Hills,750mL,7.7,South Australia,Chardonnay,,,,,,,
93,13.5%,Hardys,Screw Cap,Australia,2015*,Eileen Hardy Chardonnay,$75.10 in any six,$450.60 per case of 6,$78.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,,Chardonnay,Dry,,,,,,
94,11.5%,Jim Barry,,Australia,,The Florita Riesling 2008,$71.30 in any six,$427.80 per case of 6,$74.99 per bottle,,Clare Valley,750mL,6.8,South Australia,Riesling,,,,,,,
95,12.5%,Penfolds,Screw Cap,Australia,2016*,Bin 311 Chardonnay 2016,$37.10 in any six,$222.60 per case of 6,$38.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Tumbarumba,750mL,7.4,New South Wales,Chardonnay,Dry,Ranked 10 of 55 Chardonnay from New South Wales,,,,,
96,12.5%,Bremerton,Screw Cap,Australia,2016*,Mollie & Merle Verdelho,$17.09 in any six,$205.08 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Langhorne Creek,750mL,7.4,South Australia,Verdelho,Dry,,,,,,
97,12.40%,Taylors,Screw Cap,Australia,,Estate Estate Riesling 2012,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,Ranked 63 of 66 Riesling from Clare Valley,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,,,,,,
98,13.0% (2014),Hay Shed Hill,Screw Cap,Australia,2014*,Chardonnay,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,Awards: Gold - Margaret River Wine Show 2012,Margaret River,750mL,7.7 (2014),Western Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,Ranked 75 of 86 Chardonnay from Margaret River
99,12.50%,Mount Pleasant,Screw Cap,Australia,2007,Lovedale Semillon 2007,$71.30 in any six,$427.80 per case of 6,$74.99 per bottle,Ranked 5 of 51 Sémillon from Lower Hunter,Hunter Valley,750mL,7.4,New South Wales,Semillon,Dry,,,,Outstanding,,
100,11.0% (Non Vintage),Heggies,Screw Cap,Australia,Non Vintage*,Botrytis Riesling 375mL,$22.80 in any six,$273.60 per case of 12,$23.99 per bottle,Awards: Trophy - Sydney Royal Wine Show 2012. Gold - Sydney Royal Wine Show 2012,Eden Valley,375mL,3.3 (Non Vintage),South Australia,Riesling,Sweet,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
101,12.5% (2017),Mac Forbes,Screw Cap,Australia,2017*,Yarra Valley Chardonnay,$33.30 in any six,$399.60 per case of 12,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7 (2015),Victoria,Chardonnay,Dry,,,,,,
102,12.5%,Teusner,Screw Cap,Australia,2017*,The Empress Riesling,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,7.4,South Australia,Riesling,Dry,,,,,,
103,12.5% (2017),99 In the Shade,Screw Cap,Australia,2017*,Chardonnay,$8.00 in any six,$48.00 per case of 6,$8.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4 (2017),Victoria,Chardonnay,Dry,,,,,,
104,13,Terindah Estate,Screw Cap,Australia,2014,Single Vineyard Pinot Grigio 2018,$32.00 per bottle,$300.00 per case of 12,,,Bellarine Peninsula,750mL,7.7,Victoria,Pinot Gris,,,,,,,
105,10.00%,McGuigan,Screw Cap,Australia,2011,Bin 9000 Semillon 2002,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,,Hunter Valley,750mL,6,New South Wales,Semillon,Dry,,,,,,
106,10.5% (2012),Kaesler,Screw Cap,Australia,2012*,Old Vine Semillon,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,6.2 (2012),South Australia,Semillon,Dry,,,,,,
107,10.5% (2017),Capital Wines,Screw Cap,Australia,2017*,The Whip Riesling,$20.89 in any six,$250.68 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,6.2 (2017),New South Wales,Riesling,Dry,,,,,,
108,10.5%,Mount Pleasant,Screw Cap,Australia,2013*,Lovedale Semillon,$58.90 in any six,$349.80 per case of 6,$61.99 per bottle,"Awards: <br><Strong>Vintage 2010</Strong>: 11 Gold Medals - Cowra Wine Show 2014, International Wine Challenge London 2013, Perth Royal Wine Show 2013, Wrest Point Royal Hobart International Wine Show 2010 and 2009, Sydney Royal Wine Show 2011, Cowra Wine Show 20",Hunter Valley,750mL,6.2,New South Wales,Semillon,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Outstanding,,
109,13.0% (2013),David Traeger,Screw Cap,Australia,2013*,Verdelho,$14.30 in any six,$171.60 per case of 12,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Goulburn Valley,750mL,7.7 (2013),Victoria,Verdelho,Dry,,,,,,
110,12.5%,Byron & Harold,Screw Cap,Australia,2017*,Wandering Lane Riesling,$14.25 in any six,$85.50 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,7.4,Western Australia,Riesling,Dry,,,,,,
111,12.50%,Grosset,*,Australia,2011,Springvale Riesling 2011,$56.99 per bottle,Ranked 7 of 53 Riesling from Clare Valley,,,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,,,,Outstanding,,
112,13.5% (2016),Paul Conti,Screw Cap,Australia,2016*,Chenin Blanc,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Swan Valley,750mL,8.0 (2016),Western Australia,Chenin Blanc,Dry,,,,,,
113,13,IronHouse Vineyard,Screw Cap,Australia,,Sauvignon Blanc 2017,$28.00 per bottle,$300.00 per case of 12,,,East Coast Tasmania,750mL,7.7,Tasmania,Sauvignon Blanc,,,,,,,
114,12.5%,Warburn,Cask Closure,Australia,Non Vintage*,Premium Verdelho Cask 4L,$13.99 each,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,4L,40.0,,Verdelho,Dry,,,,,,
115,12.50%,O'Leary Walker,Screw Cap,Australia,,Watervale Riesling 2011,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,Ranked 28 of 53 Riesling from Clare Valley,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,,,,,,
116,13%,Kirrihill,Screw Cap,Australia,2015*,Regional Range Chardonnay,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.7,South Australia,Chardonnay,Dry,,,,,,
117,13.5%,Kooyong,Screw Cap,Australia,2017*,Beurrot Pinot Gris,$25.70 in any six,$154.20 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8.0,Victoria,Pinot Gris,Dry,Ranked 2 of 18 Pinot Gris from Mornington Peninsula,,,,,
118,6,Oakover Wines,Crown Seal,Australia,,Ministry Of Leisure Pink Moscato N/V,$16.99 per bottle,$203.00 per case of 12,,,Western Australia,700mL,3.6,Western Australia,Pink Moscato,Sweet,,,Light Bodied,,,
119,13.5% (2014),Happs,Cork,Australia,2014*,Semillon Sauvignon Blanc,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.0 (2014),Western Australia,Semillon Sauvignon Blanc,Dry,,,,,,
