,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Style,Langtons Classified,Price Option 3,Price Option 4,Wine Body,Organic,Vegan Friendly,Price Option 5
106,12.5% (2016),Jericho,Screw Cap,Australia,2016*,Adelaide Hills Fiano,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 15 Fiano from South Australia,Adelaide Hills,750mL,7.4 (2016),South Australia,Fiano,Dry,,,,,,,
107,,,,,,Unknown,,,,,,,,,,,,,,,,
108,12.0% (2013),Temple Bruer,Screw Cap,Australia,2013*,Chenin Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Langhorne Creek,750mL,7.1 (2013),South Australia,Chenin Blanc,Dry,,,,,true,,
109,11.00%,Eden Hall,Screw Cap,Australia,,Riesling 2010,$24.69 in any six,$148.14 per case of 6,$25.99 per bottle,Eden Valley,750mL,6.5,South Australia,Riesling,Dry,,,,,,,
110,11.8% (2016),Helm,Screw Cap,Australia,2016*,Classic Dry Riesling,$29.50 in any six,$295.00 per case of 12,$30.99 per bottle,Canberra District,750mL,7.0 (2016),New South Wales,Riesling,Dry,,Awards: Gold - Canberra Regional Wine Show 2012,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Ranked 9 of 30 Riesling from New South Wales
111,11.80%,O'Leary Walker,Screw Cap,Australia,,Watervale Riesling 2010,Ranked 22 of 46 Riesling from Clare Valley,,,Clare Valley,750mL,7,South Australia,Riesling,Dry,,,,,,,
112,12.5%,After Hours,Screw Cap,Australia,,9-5 Semillon Sauvignon Blanc,$15.00 per bottle,$180.00 per case of 12,,Margaret River,750mL,7.4,Western Australia,Semillon & Sauvignon Blanc,,,,,,,,
113,13.0% (2010),Wyndham Estate,Screw Cap,Australia,2010*,Bin 222 Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,7.7 (2010),,Chardonnay,Dry,,,,,,,
114,13.5%,Swings & Roundabouts,Screw Cap,Australia,2012,Backyard Series Chardonnay,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,Margaret River,750mL,8,Western Australia,Chardonnay,Dry,,Awards: Gold - 2018 Sydney Royal Wine Show,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
115,13.0% (2009),Devil's Lair,Screw Cap,Australia,2009*,9th Chamber Chardonnay,$80.80 in any six,$484.80 per case of 6,$99.99 per bottle,Margaret River,750mL,7.7 (2009),Western Australia,Chardonnay,Dry,,Awards: Gold Medal - Royal Perth Wine Show 2014,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Ranked 11 of 65 Chardonnay from Margaret River
116,13.0% (2016),Leeuwin Estate,Screw Cap,Australia,2017,Siblings Sauvignon Blanc Semillon,$16.10 in any six,$193.20 per case of 12,$16.90 per bottle,Margaret River,750mL,7.7 (2016),Western Australia,Sauvignon Blanc Semillon,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
117,14.0% (2012),Ashbrook Estate,Screw Cap,Australia,2012*,Sauvignon Blanc,$17.05 in any six,$201.95 per case of 12,$17.90 per bottle,Margaret River,750mL,8.3 (2012),Western Australia,Sauvignon Blanc,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
118,13.5% (2012),McWilliam's,Screw Cap,Australia,2012*,Hanwood Estate Verdelho,$47.70 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8 (2012),New South Wales,Verdelho,Dry,,,,,,,
119,12.5% (2015),Pipers Brook,Screw Cap,Australia,2015*,Gewürztraminer,$18.95 in any six,$112.25 per case of 6,$19.90 per bottle,Northern Tasmania,750mL,7.4 (2015),Tasmania,Gewürztraminer,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 19 of 20 Gewürztraminer from Australia,,,,
