,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 4,Region,Price Option 5,Vegan Friendly,Price Option 6
85,7.5%,Bowler's Run,Screw Cap,Australia,2017*,Cabernet Merlot,$2.85 in any six,$17.10 per case of 6,$2.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,1.6,,Cabernet Merlot,Medium Bodied,Dry,,,,,,
86,14.5%,Henschke,Screw Cap,Australia,2015*,Apple Tree Bench Shiraz Cabernet,$61.80 in any six,$370.80 per case of 6,$64.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,,Shiraz Cabernet,Full Bodied,Dry,,,Barossa Valley,,,
87,14% (2012),Taylors,Screw Cap,Australia,2012*,The Pioneer Shiraz,$190.00 in any six,$570.00 per case of 3,$200.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,14.0 (2012),South Australia,Shiraz,Full Bodied,Dry,,Ranked 1 of 35 Shiraz from Clare Valley,Clare Valley,,,
88,14.0%,Red Knot,Screw Cap,Australia,2017*,Cabernet Sauvignon,$9.40 in any six,$56.40 per case of 6,$9.90 per bottle,"Awards: TROPHY:
""Best Cabernet Sauvignon"" 2018 McLaren Vale Wine Show
GOLD MEDAL: 
2018 McLaren Vale Wine Show (class 14)
2018 Melbourne International Wine Competition
2018 New World Wine Awards, New Zealand
Gold Medal - 2017 China Wine & Spirit Awards, Gold Medal - 2017 Melbourne International Wine Competition, Gold Medal - 2017 Royal Melbourne Wine Awards, class 46, Gold Medal - China Wine and Spirits Best Value Awards 2016",750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,Ranked 18 of 25 Cabernet Sauvignon from South Australia,,
89,13%,Tempus Two,Screw Cap,Australia,2017*,Merlot,$11.39 in any six,$68.34 per case of 6,$11.50 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,South Australia,Merlot,Medium Bodied,Dry,,,,,,
90,13.5%,42 Degrees South,Screw Cap,Australia,2018*,Pinot Noir,$24.70 in any six,$296.40 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Tasmania,Pinot Noir,Light Bodied,Dry,,Ranked 24 of 35 Pinot Noir from Australia,,,,
91,13.0% (2013),Cleanskin,Screw Cap,Australia,2013*,No 49 Soft Merlot,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2013),South Australia,Merlot,Medium Bodied,Dry,,,,,,
92,14.5%,Jacob's Creek,Screw Cap,Australia,2013,Reserve Shiraz 2013,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"Awards: Decanter World Wine Awards, 2015: Bronze 
International Wine Challenge, 2015: Silver 
Los Angeles International Wine Competition, 2015: Silver",750mL,8,South Australia,Shiraz,,,,,Barossa,,,
93,13%,McGuigan,Screw Cap,Australia,2017*,Black Label Cabernet Merlot,$6.95 in any six,$41.70 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,,Cabernet Merlot,Medium Bodied,Dry,,,,,,
94,14.5%,Penfolds,Screw Cap,Australia,,Bin 138 Shiraz Grenache Mataro 2016,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,,750mL,8.6,South Australia,Shiraz Grenache Mataro,,,,,Barossa Valley,,,
95,14.50%,Secret Selection,Screw Cap,Australia,2014,Barossa Merlot 2014,Online Offer$12.90 per bottle,$24.70 in any six,$148.20 per case of 6,$25.99 per bottle,750mL,8.6,South Australia,Merlot,Medium Bodied,Dry,,,Barossa,,,
96,13.5%,Forester Estate,Screw Cap,Australia,2016*,Lifestyle Cabernet Merlot,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,Margaret River,,,
97,13.5%,Wynns,Screw Cap,Australia,2010*,Black Label Cabernet Sauvignon 2010,$37.95 in any six,$228.00 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,South Australia,Cabernet Sauvignon,,Dry,Excellent,Ranked 2 of 49 Cabernet Sauvignon from Coonawarra,Coonawarra,,,
98,8.5% (2015),Lindeman's,Screw Cap,Australia,2015*,Early Harvest Rosé,$9.40 in any six,$56.40 per case of 6,$9.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,5 (2015),Victoria,,Light Bodied,Dry,,,,,,
99,14.50%,Penfolds,Cork,Australia,2001,Grange 2001 Magnum 1.5L,"$1,500.00 per bottle",,,,1.5L,17,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,Barossa Valley,,,
100,13.8%,Jacob's Creek,Screw Cap,Australia,2018*,Classic Merlot,$5.95 in any six,$35.70 per case of 6,$5.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.2,South Australia,Merlot,Medium Bodied,Dry,,,,,,
101,14.0%,Secret Selection,,Australia,2016,McLaren Vale Shiraz 2016,Online Offer$12.90 per bottle,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,750mL,8.3,South Australia,,,,,,McLaren Vale,,,
102,14%,Josef Chromy,Screw Cap,Australia,2016*,Pepik Pinot Noir,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Tasmania,Pinot Noir,Light Bodied,Dry,,,,,,
103,12.00%,Cleanskin,Screw Cap,Australia,Non Vintage,Soft Red,$3.75 in any six,$22.50 per case of 6,$3.95 per bottle,,750mL,7.1,,Red Blend,,Dry,,,,,,
104,13.5%,19 Crimes,Screw Cap,Australia,2018*,Cabernet Sauvignon,$10.40 in any six,$59.70 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
105,13%,Tempus Two,Screw Cap,Australia,2017*,Cabernet Merlot,$11.39 in any six,$68.34 per case of 6,$11.50 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,,
106,14.0%,Houghton,Screw Cap,Australia,2013*,Jack Mann Cabernet Sauvignon 2013,Delivery Offer$89.90 per bottle,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,750mL,8.3,Western Australia,,Full Bodied,Dry,,Awards: Regional Trophy Decanter - World Wine Awards 2017,Frankland River,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 1 of 17 Cabernet Sauvignon from Great Southern
107,14.5% (2015),Wine Men Of Gotham,Screw Cap,Australia,2015*,Shiraz,$5.00 in any six,$30.00 per case of 6,$5.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6 (2015),,Shiraz,Full Bodied,Dry,,,,,,
108,13.9%,Jacob's Creek,Cork,Australia,2017*,Shiraz Cabernet 187mL,$2.39 in any six,$57.36 per case of 24,$2.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",187mL,2.1,,Shiraz Cabernet,Full Bodied,Dry,,,,,,
109,14.5%,Hereford,Screw Cap,Australia,2016*,Heathcote Shiraz,$13.99 per bottle,$79.80 per case of 6,$13.30 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,,Heathcote,,,
110,13%,Tempus Two,Screw Cap,Australia,2017*,Shiraz,$11.39 in any six,$68.34 per case of 6,$11.50 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,,Hunter Valley,,,
111,13.5%,Wolf Blass,Screw Cap,Australia,2018*,Eaglehawk Merlot,$4.95 in any six,$29.70 per case of 6,$4.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8,South Australia,Merlot,Medium Bodied,Dry,,,,,,
112,13.5%,Lindeman's,Screw Cap,Australia,2017*,Bin 50 Shiraz,$6.60 in any six,$39.60 per case of 6,$6.95 per bottle,Awards: Gold Medal - Cowra Wine Show 2016,750mL,8.0,Victoria,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
113,14.0% (2014),MadFish,Screw Cap,Australia,2014*,Gold Turtle Cabernet Merlot,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3 (2014),Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,Margaret River,,,
114,13%,Sticks,Screw Cap,Australia,2017*,Pinot Noir,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,Ranked 53 of 55 Pinot Noir from Yarra Valley,Yarra Valley,,,
115,10.5%,Berri Estates,Cask Closure,Australia,Non Vintage*,Traditional Dry Red Cask 5L,$15.99 per cask,$28.90 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,5L,41,South Australia,Red Blend,,Dry,,,,,,
116,14.5%,Grant Burge,Screw Cap,Australia,2017,Hillcot Merlot,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,,Barossa,,,
117,14.5%,St Hallett,Screw Cap,Australia,2015*,Blackwell Shiraz,$35.99 per bottle,$205.20 per case of 6,$34.20 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,Ranked 37 of 135 Shiraz from Barossa Valley,Barossa Valley,,,
118,14.0% (2014),MadFish,Screw Cap,Australia,2014*,Premium Red,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3 (2014),Western Australia,Red Blend,,Dry,,,,,,
119,14.5%,Boisterous,Screw Cap,Australia,2017,Barossa Valley Cabernet Sauvignon 2017,Delivery Offer$150.00 for 2 cases,$27.50 per bottle,$162.00 per case of 6,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Barossa Valley,,,
