,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Size,Standard Drinks,Varietal,Price Option 3,Region,State,Wine Style,Price Option 4,Wine Body,Organic,Price Option 5,Vegan Friendly,Langtons Classified,Price Option 6
90,12%,Trentham Estate,Screw Cap,Australia,2017*,The Family Vermentino,$15.19 in any six,$182.28 per case of 12,$15.99 per bottle,750mL,7.1,Vermentino,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Murray Darling,Victoria,Dry,,,,,,,
91,13.0% (2016),Deep Woods,Screw Cap,Australia,2016*,Reserve Chardonnay,$45.60 in any six,$273.60 per case of 6,$47.99 per bottle,750mL,7.7 (2014),Chardonnay,"Awards: 95 Points & Gold Medal - National Wine Show of Australia 2017, Royal Queensland Wine Show 2017 - Gold, Royal Adelaide Wine Show 2017 - Gold, Perth Royal Wine Show 2017 - Gold, Wine Show of Western Australia 2017 - Gold, National Wine Show of Australia 201",Margaret River,Western Australia,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
92,12.5%,Cleanskin,Screw Cap,Australia,2018,Brown Label Riesling 2018,$10.50 in any six,$63.00 per case of 6,$10.99 per bottle,750mL,7.4,Riesling,,,Tasmania,,,,,,,,
93,12.5%,McWilliam's,Screw Cap,Australia,2017*,Hanwood Estate Sauvignon Blanc,$7.90 in any six,$47.40 per case of 6,$8.30 per bottle,750mL,7.4,Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Dry,,,,,,,
94,12.8% (2014),Merricks Estate,Screw Cap,Australia,2014*,Chardonnay,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,750mL,7.6 (2014),Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,Victoria,Dry,,,,,,,
95,11.5%,Heggies,Screw Cap,Australia,2017*,Riesling,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,750mL,6.8,Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,South Australia,Dry,Ranked 26 of 27 Riesling from Eden Valley,,,,,,
96,12,Berton Vineyards,Screw Cap,Australia,,Metal Range Vermentino 2018,$11.49 per bottle,$66.00 per case of 6,Awards: Top Gold - 2016 Riverina Wine Show. Trophy & Top Gold Winner - The National Wine Show of Australia. Trophy - Sydney International Wine Competition,750mL,7.1,Vermentino,,,,,,,,,,,
97,13.5,Merricks Estate,Screw Cap,Australia,,Chardonnay,$33.00 per bottle,$396.00 per case of 12,,750mL,7.6,Chardonnay,,Mornington Peninsula,,Dry,,,,,,,
98,12.0% (2013),Derwent Estate,Screw Cap,Australia,2013*,Riesling,$24.70 in any six,$296.40 per case of 12,$25.99 per bottle,750mL,7.1 (2013),Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Derwent Valley,Tasmania,Dry,Ranked 20 of 56 Riesling from Tasmania,,,,,,
99,13.0%,Chapel Hill,Screw Cap,Australia,2018,McLaren Vale Verdelho,$14.95 in any six,$89.70 per case of 6,$14.95 per bottle,750mL,7.7,Verdelho,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,South Australia,Dry,,,,,,,
100,12%,Mr Mick,Screw Cap,Australia,2017*,Riesling,$14.30 in any six,$85.80 per case of 6,$14.60 per bottle,750mL,7.1,Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,South Australia,Dry,,,,,,,
101,12.5%,Logan,Screw Cap,Australia,2017*,Sauvignon Blanc,$16.09 in any six,$193.08 per case of 12,$21.99 per bottle,750mL,7.4,Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Orange,New South Wales,Dry,,,,,,,
102,10.5%,De Bortoli,Screw Cap,Australia,2016*,Noble One Botrytis Semillon 375mL,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,375mL,3.1,Semillon,Awards: 2 Trophies - Brisbane Wine Show 2016 and Sydney Wine show 2016. 2 Gold Medals Brisbane Wine Show 2016 and Sydney Wine show 2016.,Riverina,New South Wales,Sweet,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,Outstanding,
103,7.4% (2015),Frogmore Creek,Screw Cap,Australia,2015*,Iced Riesling 375mL,$21.85 in any six,$262.20 per case of 12,$22.99 per bottle,375mL,2.2 (2015),Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Southern Tasmania,Tasmania,Sweet,,,,,,,
104,13.0% (2015),Devil's Lair,Screw Cap,Australia,2015*,Luck Of The Devil Chardonnay,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,750mL,7.7 (2015),Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,Dry,,,,,,,
105,12.5,Bay of Fires,Screw Cap,Australia,2016,Sauvignon Blanc,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,750mL,7.4,Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coal River Valley,Tasmania,Dry,Ranked 6 of 38 Sauvignon Blanc from Tasmania,,,,,,
106,13.5%,Yarra Ridge,Screw Cap,Australia,2016*,Chardonnay,$17.09 in any six,$102.54 per case of 6,$17.99 per bottle,750mL,8.0,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Victoria,Dry,,,,,,,
107,12.5%,Freycinet,Screw Cap,Australia,2017*,Riesling,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,750mL,7.4,Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",East Coast Tasmania,Tasmania,Dry,Ranked 2 of 56 Riesling from Tasmania,,,,,,
108,13.00%,Giants Steps,Screw Cap,Australia,,Sexton Vineyard Chardonnay 2012,$46.55 in any six,$279.30 per case of 6,$48.99 per bottle,750mL,7.7,Chardonnay,Ranked 21 of 75 Chardonnay from Yarra Valley,Yarra Valley,Victoria,Dry,,,,,,,
109,13.5%,Ten Minutes by Tractor,Screw Cap,Australia,2017*,10X Pinot Gris,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,750mL,8.0,Pinot Gris,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,Victoria,Dry,Ranked 1 of 24 Pinot Gris from Victoria,,,,,,
110,13%,Balnaves,Screw Cap,Australia,2014,Chardonnay,$30.99 per bottle,$185.94 per case of 6,"Awards: The Balnaves family belongs to the first rank of Coonawarra growers, thanks to their immaculate vineyard holdings and viticulture, and the considently outstanding quality of the wines. Chardonnay is no exception, with James Halliday singling it out as the ""standout chardonnay in Coonawarra"". The fruit is hand-picked and whole bunch-pressed before swith wild and cultured yeasts. This takes place on solids in French barriques (31% new), where it is then matured for 11 months. It is an elegant, full-flavoured expression of Chardonnay with stone-fruit and citrus flavours mingled with cream and nutty characters, boasting exceptional balance and length.",750mL,7.7,Chardonnay,,Coonawarra,South Australia,Dry,,Medium Bodied,,,true,,
111,11%,Peter Lehmann,Screw Cap,Australia,2013*,Wigan Riesling,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,750mL,6.5,Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,South Australia,Dry,,,,,,,
112,12.5%,Botham,Screw Cap,Australia,2018,All Rounder Chardonnay,$10.00 in any six,$60.00 per case of 6,$10.00 per bottle,750mL,7.4,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",South Eastern Australia,,,,,,,,,
113,8.5%,Squealing Pig,Can Closure,Australia,,Spritzed Pinot Grigio Cans 250mL,$23.99 per pack of 4,$126.99 per case of 24,$6.99 per can (in store),250mL,1.7,Pinot Grigio,,,,,,,,,,,
114,12%,The Natural Wine Co,Screw Cap,Australia,2017*,Organic Sauvignon Blanc,$15.20 in any six,$182.40 per case of 12,$15.99 per bottle,750mL,7.1,Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Dry,,Light Bodied,true,,,,
115,12.5%,Hardys,Screw Cap,Australia,2017*,HRB Riesling,Member Offer$25.00 per bottle,$30.40 in any six,$182.40 per case of 6,750mL,7.4,Riesling,$31.99 per bottle,Clare Valley,South Australia,Dry,Awards: Silver - Royal Hobart Wine Show 2016,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Ranked 202 of 262 Riesling from Australia
116,,,,,,Unknown,,,,,,,,,,,,,,,,,
117,,,,,,Unknown,,,,,,,,,,,,,,,,,
118,,,,,,Unknown,,,,,,,,,,,,,,,,,
119,11.00%,Penfolds,Screw Cap,Australia,,Bin 51 Eden Valley Riesling 2016,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,750mL,6.5,Riesling,Ranked 7 of 27 Riesling from Eden Valley,Eden Valley,South Australia,Dry,,,,,,,
