,Name,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Vegan Friendly,Price Option 4,Wine Body
103,Macon-Fuisse Les Taches,13.5%,Robert-Denogent,,Australia,,$79.95 per bottle,$959.40 per case of 6,,,,750mL,7.9,,Chardonnay,,,,
104,Chardonnay,12.5%,Dromana Estate,Screw Cap,Australia,2013*,$32.29 in any six,$387.48 per case of 12,$33.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.4,Victoria,Chardonnay,Dry,,Ranked 5 of 35 Chardonnay from Mornington Peninsula,
105,Chardonnay,13.0% (2014),Happs,Screw Cap,Australia,2014*,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.7 (2014),Western Australia,Chardonnay,Dry,,,
106,Adelaide Hills Sauvignon Blanc,12.5%,Houdini,Screw Cap,Australia,2016*,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.4,South Australia,Sauvignon  Blanc,Dry,,,
107,Eden Valley Riesling 2012,12.5%,Heggies,Screw Cap,Australia,2012,$171.00 per case of 6,$29.99 per bottle,,,Eden Valley,750mL,7.4,South Australia,Riesling,Dry,,,
108,Triolet,13.0%,Mount Mary,Screw Cap,Australia,2015*,$89.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Yarra Valley,750mL,7.7,Victoria,Semillon Sauvignon Blanc Muscadelle,Dry,,,
109,Trocken,12.0%,AJ Adam,,Australia,,$39.95 per bottle,$479.40 per case of 12,,,,750mL,7.1,,Riesling,,,,
110,King Valley Pinot Grigio,11.50%,Santa & D'Sas,Screw Cap,Australia,2015*,$21.90 in any six,$262.80 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",King Valley,750mL,6.8,Victoria,Pinot Grigio,,,Ranked 15 of 16 Pinot Grigio from Victoria,
111,Chardonnay,13.5% (2013),Racers And Rascals,Screw Cap,Australia,2013*,$15.19 in any six,$182.40 per case of 12,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8 (2013),Victoria,Chardonnay,Dry,,,
112,Sauvignon Blanc,12.0%,Frères Lafitte,,Australia,,$21.95 per bottle,$131.70 per case of 6,,,,750mL,7.1,,Sauvignon Blanc,,,,
113,Semillon Sauvignon Blanc,12.5% (2014),The Lake House,Screw Cap,Australia,2014*,$23.75 in any six,$285.00 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,7.4 (2014),Western Australia,Semillon Sauvignon Blanc,Dry,,,
114,Sauvignon Blanc,12%,6Ft6,Screw Cap,Australia,2017,$17.90 in any six,$107.40 per case of 6,$18.80 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.1,,Sauvignon  Blanc,Dry,true,,
115,St Andrews Riesling,12.5%,Taylors,Screw Cap,Australia,2017*,$30.39 in any six,$182.34 per case of 6,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.4,South Australia,Riesling,Dry,,Ranked 62 of 70 Riesling from Clare Valley,
116,Chardonnay,13.0% (2014),Montrose,Screw Cap,Australia,2014*,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mudgee,750mL,7.7 (2014),New South Wales,Chardonnay,Dry,,,
117,Chardonnay,13.0% (2015),Austins & Co.,Screw Cap,Australia,2015*,$28.49 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,7.7 (2015),Victoria,Chardonnay,Dry,,Ranked 13 of 15 Chardonnay from Geelong,
118,Estate Chardonnay,13%,Pipers Brook,Screw Cap,Australia,2017*,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Northern Tasmania,750mL,7.7,Tasmania,Chardonnay,Dry,,Ranked 22 of 38 Chardonnay from Tasmania,
119,Unknown,,,,,,,,,,,,,,,,,,
